Dates,NOVN_open,NOVN_high,NOVN_low,NOVN_close,NOVN_Volume,NOVN_RSI_14,LHN_open,LHN_high,LHN_low,LHN_close,LHN_Volume,LHN_RSI,ABBN_open,ABBN_high,ABBN_low,ABBN_close,ABBN_Volume,ABBN_RSI,NESN_open,NESN_high,NESN_low,NESN_close,NESN_Volume,NESN_RSI,AIR_open,AIR_high,AIR_low,AIR_close,AIR_Volume,AIR_RSI,TOTB_open,TOTB_high,TOTB_low,TOTB_close,TOTB_Volume,TOTB_RSI
22.11.2019,90,90.800003,89.779999,89.779999,5163867,64.61669199,51.5,51.919998,51.400002,51.560001,3212495,59.4277614,21.549999,21.790001,21.5,21.68,5477584,67.44723432,103.08,104.02,102.7,103.1,6260462,41.15000076,130,130.3,124.06,124.06,2874629,32.18855179,48.889999,48.965,48.209999,48.209999,25361,47.72468626
25.11.2019,90.199997,90.839996,89.559998,90.839996,6196012,69.56700295,51.799999,52.200001,51.560001,51.919998,2734778,63.00888766,21.790001,21.969999,21.719999,21.860001,5770785,70.18700064,103.8,104.26,103.4,104.22,3940598,48.66585418,124.66,128.38,124.5,127.98,2347993,43.69168191,48.279999,48.470001,48.035,48.040001,31423,46.03449947
26.11.2019,90.82,91.93,90.629997,91.5,7687963,72.17713517,52.200001,52.200001,51.84,52.16,3395338,65.21335596,21.92,22.040001,21.879999,21.950001,8135804,71.47951339,104.56,104.82,104,104,13262006,47.3856822,127.6,127.88,126.86,127,1298325,41.78340442,48,48.369999,47.93,48.369999,59525,49.75448382
27.11.2019,91.650002,92.25,91.480003,92.089996,5287673,74.29916824,52.200001,52.240002,51.860001,52.099998,2291906,64.18352585,21.99,22.17,21.940001,22,5534051,72.20056868,104.22,104.62,103.8,104.38,4081462,49.84008781,127.28,128.28,126.2,127.04,1126397,41.89495586,47.98,48.154999,47.654999,47.700001,48070,43.23768625
28.11.2019,91.800003,92.470001,91.800003,92.339996,2173763,75.16356895,52.099998,52.220001,51.860001,52.040001,2046407,63.11033244,21.959999,22.09,21.860001,21.940001,3243155,69.91624771,104.12,104.54,104.02,104.3,1969625,49.31848111,126.9,127.06,124.62,124.94,1309613,37.79987277,47.915001,48.290001,47.044998,47.119999,39012,38.53256718
29.11.2019,92.099998,92.449997,91.970001,92.059998,4471080,72.23331613,51.82,51.880001,51.48,51.560001,2420214,55.16336294,21.799999,21.950001,21.74,21.870001,4684140,67.24321845,104.22,104.4,103.78,103.92,4437790,46.81235379,124.46,124.6,122.52,124.22,1488075,36.48315922,47.259998,47.375,46.290001,46.639999,60097,35.12588315
02.12.2019,92.080002,92.690002,90.230003,90.400002,5516007,57.8372952,51.700001,52.16,51.18,51.32,2753311,51.6605526,21.83,22.110001,21.6,21.67,8460416,60.16551956,103.6,104.66,102.4,102.54,5495999,39.05147273,123.44,124.38,123.04,124,1122774,36.06971347,46.68,47.244999,46.639999,47.165001,38118,41.24454571
03.12.2019,90.699997,90.849998,89.169998,89.449997,6290065,51.51023482,51.299999,51.560001,50.52,50.82,2869210,45.21850766,21.58,21.719999,21.33,21.450001,11477800,53.495405,102.56,103.14,101.62,101.62,6603916,34.89771668,124.4,125.22,123,124.16,1330270,36.63215453,47.380001,47.645,47.139999,47.139999,25261,41.04600279
04.12.2019,89.209999,90.32,89.199997,90.160004,4736384,55.43413347,50.84,51.220001,50.560001,51.119999,1871229,49.30337744,21.43,22.1,21.43,21.959999,9725987,63.57635527,101.5,102.52,101.5,102.26,4927048,39.70256044,126.84,127.36,124.84,125.9,1716714,42.55136802,47.32,48.07,47.16,47.900002,39591,49.07153261
05.12.2019,90.489998,91.529999,90.330002,90.440002,3481269,56.91485122,51.139999,51.720001,51.080002,51.34,1586835,52.12281509,21.959999,22.309999,21.959999,22.120001,7408528,66.06197023,102.4,102.8,102.26,102.54,3795186,41.72884041,127,129.32001,126.56,129.22,1551759,51.80246814,47.935001,47.935001,47.605,47.630001,26178,46.64226777
