,Date,Balance,trx_nr,Invested,Cash,deal_size,total_gain,signal_trx_nr,signal_trx_gain,strong_signal_trx_nr,strong_signal_trx_gain,resistance_trx_nr,resistance_trx_gain,breakthrough_trx_nr,breakthrough_trx_gain,daily_trading_call_trx_nr,daily_trading_call,daily_trading_put_trx_nr,daily_trading_put
0,03.01.2020,50000.0,0.0,0.0,50000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20.02.2020,50000.0,0.0,2145.9688294000025,47854.0311706,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,24.02.2020,52269.087017800455,1.0,0.0,52269.087017800455,2090.763480712018,2269.0870178004543,0.0,0.0,1.0,2269.0870178004543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,02.03.2020,52269.087017800455,1.0,3394.7999999999997,48874.28701780045,2090.763480712018,2269.0870178004543,0.0,0.0,1.0,2269.0870178004543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10.03.2020,52269.087017800455,1.0,6540.392664900003,45728.69435290045,2090.763480712018,2269.0870178004543,0.0,0.0,1.0,2269.0870178004543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,13.03.2020,52269.087017800455,1.0,9683.49769035,42585.58932745045,2090.763480712018,2269.0870178004543,0.0,0.0,1.0,2269.0870178004543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,17.03.2020,55997.02562387236,2.0,6540.392664900002,49456.63295897235,2239.881024954894,5997.025623872358,0.0,0.0,2.0,5997.025623872358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,17.03.2020,55997.02562387236,2.0,10061.296441500008,45935.72918237234,2239.881024954894,5997.025623872358,0.0,0.0,2.0,5997.025623872358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,19.03.2020,57825.86034184728,3.0,6540.392664900002,51285.467676947264,2313.0344136738913,7825.860341847275,0.0,0.0,3.0,7825.860341847275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,24.03.2020,57825.86034184728,3.0,8935.768664899997,48890.09167694727,2313.0344136738913,7825.860341847275,0.0,0.0,3.0,7825.860341847275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,25.03.2020,59514.94760115787,4.0,6540.392664900002,52974.55493625786,2380.597904046315,9514.94760115787,0.0,0.0,4.0,9514.94760115787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,25.03.2020,59514.94760115787,4.0,9002.599311299997,50512.348289857866,2380.597904046315,9514.94760115787,0.0,0.0,4.0,9514.94760115787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,26.03.2020,62030.71131577769,5.0,6540.392664900002,55490.31865087768,2481.2284526311078,12030.711315777688,0.0,0.0,5.0,12030.711315777688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,30.03.2020,58635.91131577769,6.0,3145.5926649000025,55490.31865087768,2481.2284526311078,8635.911315777688,0.0,0.0,6.0,8635.911315777688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,31.03.2020,60381.03054825791,7.0,-9.094947017729282e-13,60381.030548257906,2415.2412219303164,10381.030548257912,0.0,0.0,7.0,10381.030548257912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,21.04.2020,60381.03054825791,7.0,2468.7900000000027,57912.240548257905,2415.2412219303164,10381.030548257912,0.0,0.0,7.0,10381.030548257912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,30.04.2020,63388.284252047604,8.0,-9.094947017729282e-13,63388.284252047604,2535.5313700819042,13388.284252047604,0.0,0.0,8.0,13388.284252047604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,22.06.2020,63388.284252047604,8.0,2578.658416599997,60809.62583544761,2535.5313700819042,13388.284252047604,0.0,0.0,8.0,13388.284252047604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,29.06.2020,64444.67074897489,9.0,-9.094947017729282e-13,64444.67074897489,2577.7868299589954,14444.670748974888,0.0,0.0,9.0,14444.670748974888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,03.08.2020,64444.67074897489,9.0,3916.722421350002,60527.94832762489,2577.7868299589954,14444.670748974888,0.0,0.0,9.0,14444.670748974888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,19.08.2020,63598.075081289666,10.0,-9.094947017729282e-13,63598.075081289666,2543.9230032515866,13598.075081289662,0.0,0.0,10.0,13598.075081289662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,03.09.2020,63598.075081289666,10.0,2623.7099999999955,60974.36508128967,2543.9230032515866,13598.075081289662,0.0,0.0,10.0,13598.075081289662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,16.09.2020,63598.075081289666,10.0,5300.026696499994,58298.04838478967,2543.9230032515866,13598.075081289662,0.0,0.0,10.0,13598.075081289662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,30.09.2020,65133.563917181935,11.0,2623.709999999996,62509.853917181936,2605.3425566872775,15133.563917181933,0.0,0.0,11.0,15133.563917181933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,01.10.2020,62509.853917181936,12.0,-4.547473508864641e-13,62509.853917181936,2605.3425566872775,12509.853917181936,0.0,0.0,12.0,12509.853917181936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
